GEOID,Tract,z_A12_est,z_D1_est,z_E4_median_home_value,z_E10_eviction_rate,z_PLACES_EMOTIONSPT,z_G8_lbw_pct_2223,z_FARA_LILATracts_halfAnd10,z_I6b_ags_personal_idx,z_J8_self_response,z_K10b_cra_sb_rev_lt1m_count,GCNVI_score,GCNVI_category
370810101001,37081010100,-1.0848266000530322,-0.6673549472166865,-1.0054323993113736,-1.5273563689155083,-1.3225785005311572,-0.14989808889935208,-1.1232742169403482,-1.5645306049758183,-0.9640370882770756,-1.3245582350120821,-1.0733847050132435,2 Low Vitality
370810102001,37081010200,-2.440290612474952,-2.0107945635327775,-0.7236966019188512,-2.464587642667239,-0.15471296222405564,-0.13221359794725024,-1.1232742169403482,-0.5172964785463455,-0.3502253061946182,0.11765781169127201,-0.9799434170755166,2 Low Vitality
370810102002,37081010200,-0.07493971450763798,-0.680313376929631,-0.13427070804157126,-0.43442622067503783,-0.15471296222405564,-0.13221359794725024,-1.1232742169403482,-0.5172964785463455,-0.3502253061946182,0.11765781169127201,-0.3484014770315224,3 Moderate Vitality
370810102003,37081010200,0.6788055848196274,-0.5900463013440513,-0.6164940621900542,0.44660155691978176,-0.15471296222405564,-0.13221359794725024,-1.1232742169403482,-0.5172964785463455,-0.3502253061946182,0.11765781169127201,-0.22411979719560424,3 Moderate Vitality
370810103001,37081010300,0.24919305520019103,-0.0012885271580755616,-0.6416960627578767,-0.030368653709137848,-0.9662805396917025,-0.009813076301240762,-1.1232742169403482,-1.0869918433239787,-0.4510003748947232,-0.3119384575395144,-0.4373458697116407,2 Low Vitality
370810103002,37081010300,-1.0344371090566706,-1.4040257495566517,-1.0099461904578493,0.16026752920146525,-0.9662805396917025,-0.009813076301240762,-1.1232742169403482,-1.0869918433239787,-0.4510003748947232,-0.3119384575395144,-0.7237440028561213,2 Low Vitality
370810104011,37081010401,0.4913610887718924,-0.8786285534168701,0.39421900535828724,0.8195193489879341,1.2902732122915097,,0.8902545655537868,0.2786014575400538,0.8041072989156738,0.2710850507022671,0.4845324971893928,4 High Vitality
370810104012,37081010401,0.6788055848196274,0.4882436153396849,0.1628872091014097,1.0724350816940331,1.2902732122915097,,0.8902545655537868,0.2786014575400538,0.8041072989156738,0.2710850507022671,0.6596325639953385,4 High Vitality
370810104031,37081010403,0.32786201624161476,-0.45559806808868064,0.5224859037706373,-1.4741908995778885,1.1715072253450252,1.1398501305384308,0.8902545655537868,-0.29947178024901516,0.7583004495065352,-0.8029056223746988,0.1778093920665747,3 Moderate Vitality
370810104032,37081010403,0.26172403013064105,0.3734895090563263,0.2896495104649345,0.8620517244580289,1.1715072253450252,1.1398501305384308,0.8902545655537868,-0.29947178024901516,0.7583004495065352,-0.8029056223746988,0.46444497424299946,4 High Vitality
370810104041,37081010404,0.6788055848196274,1.2101224540177355,3.7874614997213647,0.028872869267065508,1.9830748028126717,1.0137414157489586,0.8902545655537868,0.9488312984549163,1.5919851087528585,-0.3733093531439124,1.1759840246005073,5 Very High Vitality
370810104042,37081010404,0.6788055848196274,1.279326840167346,5.504959030955353,-0.5301240654827514,1.9830748028126717,1.0137414157489586,0.8902545655537868,0.9488312984549163,1.5919851087528585,-0.3733093531439124,1.2987545228638855,5 Very High Vitality
370810104043,37081010404,0.6788055848196274,1.201994835900469,4.09439929768171,0.687365182348711,1.9830748028126717,1.0137414157489586,0.8902545655537868,0.9488312984549163,1.5919851087528585,-0.3733093531439124,1.2717142738929796,5 Very High Vitality
370810105001,37081010500,-0.00570919013094818,-1.156172764834474,0.269337450305794,0.9585090759705651,1.6465711731309645,0.5534005128111652,0.8902545655537868,0.16131123537995284,0.8682368880884681,-0.8949619657812958,0.3290776980493978,3 Moderate Vitality
370810105002,37081010500,0.4192233584747338,1.3049224520174927,1.803650290845312,1.2334505031165348,1.6465711731309645,0.5534005128111652,0.8902545655537868,0.16131123537995284,0.8682368880884681,-0.8949619657812958,0.7986059013637115,4 High Vitality
370810105003,37081010500,0.44447147775448026,0.7874756501907931,-0.3125654583273598,0.9463569686933949,1.6465711731309645,0.5534005128111652,0.8902545655537868,0.16131123537995284,0.8682368880884681,-0.8949619657812958,0.509055104749435,4 High Vitality
370810106011,37081010601,0.6788055848196274,-0.18612911199774732,0.1726670899187736,1.3739592435088122,0.9933582449252975,-0.7185940874116844,-1.1232742169403482,0.16131123537995284,0.5109434626971878,-0.5574220399571066,0.13056254049427649,3 Moderate Vitality
370810106012,37081010601,0.44662576182640584,0.6255082955593912,0.26519980842152463,-0.7693686775020337,0.9933582449252975,-0.7185940874116844,-1.1232742169403482,0.16131123537995284,0.5109434626971878,-0.5574220399571066,-0.016571221300141305,3 Moderate Vitality
370810106021,37081010602,0.6788055848196274,0.5515201148399025,1.3451243402158262,0.795215134433594,0.003641687037923603,-0.7594235437151343,-1.1232742169403482,0.5802048859517419,-1.4129442124866336,-0.8949619657812958,-0.023609219162479635,3 Moderate Vitality
370810106022,37081010602,-1.6966989907231387,-1.4168977049930804,0.04139099740877318,-0.8802566564062096,0.003641687037923603,-0.7594235437151343,-1.1232742169403482,0.5802048859517419,-1.4129442124866336,-0.8949619657812958,-0.7559219720647403,2 Low Vitality
370810106023,37081010602,0.4619394210378176,-1.6702518543475944,-0.05945461978873719,-0.29315797357793755,0.003641687037923603,-0.7594235437151343,-1.1232742169403482,0.5802048859517419,-1.4129442124866336,-0.8949619657812958,-0.5167682392610199,2 Low Vitality
370810106024,37081010602,0.6788055848196274,-1.794011404999329,0.6650464741468268,0.4610321843114209,0.003641687037923603,-0.7594235437151343,-1.1232742169403482,0.5802048859517419,-1.4129442124866336,-0.8949619657812958,-0.35958845276552004,3 Moderate Vitality
370810107011,37081010701,-0.9001363046638251,-0.1918406017101589,0.5631100240889182,0.951673515627157,0.874592257978813,-0.6919661811268261,0.8902545655537868,-0.7434990498551116,-1.4037828426048058,-0.7108492789681017,-0.1362443895680154,3 Moderate Vitality
370810107012,37081010701,0.4033646372510908,-0.24882007236935874,0.5984680547363108,0.03646793631529669,0.874592257978813,-0.6919661811268261,0.8902545655537868,-0.7434990498551116,-1.4037828426048058,-0.7108492789681017,-0.0995769973088906,3 Moderate Vitality
370810107021,37081010702,-0.13591580493132951,-1.576411046132977,-0.29375799521704454,0.9159767005004702,-0.3328619426437834,,-1.1232742169403482,-1.1707705734383365,-1.0281666774498692,-1.232501891605485,-0.6641870497620782,2 Low Vitality
370810107022,37081010702,0.19129750119629071,-1.4247371808217888,0.378097247980125,-0.7777232512550886,-0.3328619426437834,,-1.1232742169403482,-1.1707705734383365,-1.0281666774498692,-1.232501891605485,-0.7245156649975871,2 Low Vitality
370810108001,37081010800,-0.1702684374758946,-0.3806252623942125,0.36901700479046484,0.5719201632155969,0.2015849986153984,,0.8902545655537868,-1.0534803512782356,-0.9640370882770756,2.910033561691383,0.26382212827124574,3 Moderate Vitality
370810108002,37081010800,0.6788055848196274,-1.2225531733906556,0.28852106267831557,0.8893939658316612,0.2015849986153984,,0.8902545655537868,-1.0534803512782356,-0.9640370882770756,2.910033561691383,0.29094701402713397,3 Moderate Vitality
370810108003,37081010800,-2.2919687833497107,-1.9923042665183934,-0.5721084492497103,0.7232365804588815,0.2015849986153984,,0.8902545655537868,-1.0534803512782356,-0.9640370882770756,2.910033561691383,-0.23875435915040835,3 Moderate Vitality
370810109001,37081010900,-0.6115027201918104,-1.035664525307805,0.1109786109169396,-3.164093317809333,-0.1349186310663086,-0.9145754776682427,-1.1232742169403482,-1.5896642240101255,-1.14726448591363,-0.8335910701768978,-1.0443570058167562,2 Low Vitality
370810109002,37081010900,-1.1077309141422873,-1.2543903049997989,0.683853937257142,0.7838225338612473,-0.1349186310663086,-0.9145754776682427,-1.1232742169403482,-1.5896642240101255,-1.14726448591363,-0.8335910701768978,-0.663773285379925,2 Low Vitality
370810110001,37081011000,0.3038534800992255,-1.1601624857014046,-1.2567001064651853,-2.4099031599199763,-1.738259454843854,-1.7633478222352457,-1.1232742169403482,-1.2796829225870017,-2.6955359959425143,-0.5267365921549075,-1.364974927669121,1 Very Low Vitality
370810110002,37081011000,-2.440413450226893,-1.3701361493392317,-1.0753961620817463,-1.494697580608115,-1.738259454843854,-1.7633478222352457,-1.1232742169403482,-1.2796829225870017,-2.6955359959425143,-0.5267365921549075,-1.5507480346959857,1 Very Low Vitality
370810111011,37081011101,-0.7049673602343051,0.16847531697776424,-0.7752290508411149,-1.7331826859225734,-1.7184651236861062,-0.11477818433250166,-1.1232742169403482,-2.9301239058398507,-1.0556507870953529,-1.2631873394076842,-1.1250383337322074,2 Low Vitality
370810111012,37081011101,-1.4559920936697661,-0.6068388274790223,-0.6044572857994525,-0.5559472934467374,-1.7184651236861062,-0.11477818433250166,-1.1232742169403482,-2.9301239058398507,-1.0556507870953529,-1.2631873394076842,-1.142871505769682,1 Very Low Vitality
370810111013,37081011101,-3.6167159520006558,-1.761578744185037,-0.9219272631015739,-1.1445649896846557,-1.7184651236861062,-0.11477818433250166,-1.1232742169403482,-2.9301239058398507,-1.0556507870953529,-1.2631873394076842,-1.5650266506273767,1 Very Low Vitality
370810111014,37081011101,-0.5182678359016315,-0.6960834156303919,-0.7255773482298827,-1.1445649896846557,-1.7184651236861062,-0.11477818433250166,-1.1232742169403482,-2.9301239058398507,-1.0556507870953529,-1.2631873394076842,-1.1289973146748407,2 Low Vitality
370810111021,37081011102,0.1554677844394078,0.03499493555742759,-0.8113393800129203,-1.2220346735766139,-1.2434011759001669,-0.7594235437151343,-1.1232742169403482,-0.919434383095263,-0.4051935254855846,-1.4166145784186792,-0.7710252757147875,2 Low Vitality
370810111022,37081011102,-0.062291763676481045,0.38025264291019617,-0.8451928136114877,-0.0022669056306824456,-1.2434011759001669,-0.7594235437151343,-1.1232742169403482,-0.919434383095263,-0.4051935254855846,-1.4166145784186792,-0.6396840263563631,2 Low Vitality
370810112011,37081011201,-2.252200245844507,-1.1501148034483044,-0.8843123368809434,-1.253933955179185,-1.06525219548044,,-1.1232742169403482,-0.5256743515577813,-2.393210789842199,-1.3859291306164803,-1.3371002250877986,1 Very Low Vitality
370810112012,37081011201,-1.4961620903850337,-1.6585875900412095,0.029730370280377724,-1.253933955179185,-1.06525219548044,,-1.1232742169403482,-0.5256743515577813,-2.393210789842199,-1.3859291306164803,-1.2080326610846999,1 Very Low Vitality
370810112021,37081011202,0.5308571656593254,-0.3492092150695412,-1.0588455945446689,-1.253933955179185,-1.4611388186353895,-0.10615224285994185,-1.1232742169403482,-1.6650650811130476,-1.0281666774498692,-1.2018164438032861,-0.8716745079935952,2 Low Vitality
370810112022,37081011202,-1.4686800633217159,-0.8083051478292431,-0.8256330519767598,-1.253933955179185,-1.4611388186353895,-0.10615224285994185,-1.1232742169403482,-1.6650650811130476,-1.0281666774498692,-1.2018164438032861,-1.0942165699108788,2 Low Vitality
370810113001,37081011300,0.5814622499402924,-0.5122806706367493,-0.9373493828520324,-1.2729216227997624,-1.2829898382156624,-2.1055947353671014,-1.1232742169403482,-1.79911104929602,-0.9731984581589028,-0.9256474135834949,-1.035090513790978,2 Low Vitality
370810113002,37081011300,-0.5200775643940347,-1.5573417987575884,-1.043047325532004,-1.1908948986788657,-1.2829898382156624,-2.1055947353671014,-1.1232742169403482,-1.79911104929602,-0.9731984581589028,-0.9256474135834949,-1.2521177298924022,1 Very Low Vitality
370810113003,37081011300,-1.4718607755782782,-0.29640437582602003,-0.9328355917055567,-0.24454954446925772,-1.2829898382156624,-2.1055947353671014,-1.1232742169403482,-1.79911104929602,-0.9731984581589028,-0.9256474135834949,-1.1155465999140641,2 Low Vitality
370810113004,37081011300,0.06030641735525996,0.5901247958272213,-0.7304672886385647,-0.5582258135612068,-1.2829898382156624,-2.1055947353671014,-1.1232742169403482,-1.79911104929602,-0.9731984581589028,-0.9256474135834949,-0.8848077600578819,2 Low Vitality
370810114001,37081011400,-1.4015605434587348,-0.7879064074257234,-0.7620638266638943,-0.04176125428148502,-1.6590821302128642,-1.5351832134806742,-1.1232742169403482,-3.2903724453315895,-1.3213305136683564,-1.2018164438032861,-1.3124350995266956,1 Very Low Vitality
370810114002,37081011400,-4.828045931211331,-1.694261649103329,-0.885064635405356,-0.6843039265618447,-1.6590821302128642,-1.5351832134806742,-1.1232742169403482,-3.2903724453315895,-1.3213305136683564,-1.2018164438032861,-1.822273510571898,1 Very Low Vitality
370810114003,37081011400,-2.1334286427095006,-1.9315304437725185,-0.6966138550399972,-2.0688846494543918,-1.6590821302128642,-1.5351832134806742,-1.1232742169403482,-3.2903724453315895,-1.3213305136683564,-1.2018164438032861,-1.6961516554413525,1 Very Low Vitality
370810114004,37081011400,0.4185661882814556,0.6626643996701455,-1.031762847665815,-0.8369647742312919,-1.6590821302128642,-1.5351832134806742,-1.1232742169403482,-3.2903724453315895,-1.3213305136683564,-1.2018164438032861,-1.0918555997382624,2 Low Vitality
370810114005,37081011400,-0.8642665384527953,-1.4276366295354368,-0.9858726376766458,-0.8521549083277543,-1.6590821302128642,-1.5351832134806742,-1.1232742169403482,-3.2903724453315895,-1.3213305136683564,-1.2018164438032861,-1.426098967742975,1 Very Low Vitality
370810115001,37081011500,0.21690191735297845,-1.3637400285084182,-0.9275695020346685,0.011404215056133838,-0.8871032150607129,-0.7085540571731316,-1.1232742169403482,-1.4472403828157172,-1.1564258557954572,-1.07907465259449,-0.846467577851383,2 Low Vitality
